Nombre,Procesador,RAM,Disco Duro,Pantalla,SO,Precio,Tarjeta Grafica
Portátil ACER TMP214-53,i7,8GB,512GB SSD,FreeDOS / Sin Sistema Operativo,"443,39 €",,
Portátil Toshiba Dynabook Satellite Pro C50-J-11X,i7,16GB,256GB SSD,FreeDOS / Sin Sistema Operativo,"895,89 €",,
Portátil Asus Expertbook,i7,8GB,512GB SSD,"528,09 €",,,
Portátil HP 255 G9,"520,66 €",,,,,,
Portátil HP 250 G8,i5,16GB,512GB SSD;UHD Graphics,"4.026,36 €",,,
Apple MacBook Pro 16 (2021),M1 Max,32GB,1TB SSD Plata,"973,05 €",,,
Portátil HP 255,Ryzen 5,8GB,512GB SSD,FreeDOS / Sin Sistema Operativo,"468,73 €",,
Portátil HP 255 G9,"1.757,65 €",,,,,,
Apple MacBook Air Apple M1,8GB,256 SSD Plata,"562,65 €",,,,
Portátil Denver Nbd - 14105Es,Intel Celeron,4GB,64GB SSD,"772,03 €",,,
Apple MacBook Pro 16 (2021),M1 Max,32GB,1TB SSD Gris espacial,"2.630,49 €",,,
"Portátil Lenovo Yoga C630Core I5-8250U 8Gb 128Gb-Ssd 15.6"" Chromeos","1.038,96 €",,,,,,
Portátil Toshiba Dynabook Satellite Pro C50-G-109,i5,8GB,256GB SSD,FreeDOS / Sin Sistema Operativo,"613,11 €",,
"Portátil Apple Macbook Pro Apple M1 8Gb 512Gb Ssd 13.3"" Gris Espacial","875,91 €",,,,,,
Portátil HP 15s-fq2161ns,i3,8GB,256GB SSD,"491,50 €",,,
Portátil Samsung NP750XED-KB2ES,i5,8 GB,256 SSD,"990,07 €",,,
Portátil Acer EX215-52,i5,8GB,512GB SSD,UHD Graphics,1.749 €,,
Portátil Acer Aspire 3 A315-34-C8K1,Celeron,8GB,256GB SSD,"550,58 €",,,
Portátil Lenovo V15-Igl,Intel Celeron,4GB,256GB SSD,"476,55 €",,,
"Portátil Dell Vostro 3501 I3-1005G1 8Gb 256Gb Ssd 15.6"" Windows 10 Pro","604,19 €",,,,,,
Convertible 2 en 1 HP Elite X2,i5,16GB,512GB SSD,"731,65 €",,,
"Portátil Lenovo  Tp L13 Clam  G2 I5-1135G7 8Gb 256Gb 13.3"" W10Pro","623,31 €",,,,,,
"Portátil LENOVO V15-ITL I3-1115G4 8GB 512GB SSD 15.6"" FHD W10","509,22 €",,,,,,
Portátil HP 15s-eq2098ns,Ryzen 3,8GB,256GB SSD,"519,68 €",,,
Portátil HP 15s-eq2100ns,Ryzen 3,8GB, 512GB SSD,"486,83 €",,,
Portátil HP 15s-eq2102ns,Ryzen 5,8GB,256GB SSD,"778,94 €",,,
Portátil HPC 15s-eq2106ns,Ryzen 7,12GB,512 GB SSD,"462,92 €",,,
Portátil HPC 15s-eq2114ns,Ryzen 7,8GB,512GB SSD,"669,06 €",,,
Portátil HP 255 G8,AMD Athlon,8GB,256GB SSD,"509,02 €",,,
"Portátil HP ZBook Firefly 14 G8 i5-1135G7 16GB 512SSD 14"" FHD","573,94 €",,,,,,
Portátil HP 255 G8,Ryzen 3,8 GB,256 GB SSD,"780,29 €",,,
Portátil HP 255 G8,Ryzen3,8GB,256GB SSD,"384,06 €",,,
